transcript_id	cluster_int	sample_id	expression_value
ADCYAP1_NM_001099733	1	S02163	3.5613505783483688
ADCYAP1_NM_001099733	1	S02194	5.475415678866551
ADCYAP1_NM_001099733	1	S02234	3.7928865791899247
ADCYAP1_NM_001099733	1	S02241	6.179789689622501
ADCYAP1_NM_001099733	1	S02242	4.452720617460258
ADCYAP1_NM_001099733	1	S02243	3.0783843959833694
ADCYAP1_NM_001099733	1	S02244	3.3940078202633908
ADCYAP1_NM_001099733	1	S02248	5.069951300407164
ADCYAP1_NM_001099733	1	S02249	3.8419529975171156
ADCYAP1_NM_001099733	1	S02284	4.25872996184138
ADCYAP1_NM_001099733	1	S02287	3.8562088746566143
ADCYAP1_NM_001099733	1	S02289	3.4326988971525183
ADCYAP1_NM_001099733	1	S02293	5.3178430967677555
ADCYAP1_NM_001099733	1	S02294	5.331013651927467
ADCYAP1_NM_001099733	1	S02297	3.3281528599798156
ADCYAP1_NM_001099733	1	S02342	4.1058791830744585
ADCYAP1_NM_001099733	1	S02350	3.7553683203785138
ADCYAP1_NM_001099733	1	S02351	4.064374163639176
ADCYAP1_NM_001099733	1	S02360	5.662310905985606
ADCYAP1_NM_001099733	1	S02375	2.670282905686229
ADCYAP1_NM_001099733	1	S02376	5.088548697010238
ADCYAP1_NM_001099733	1	S02378	3.487717861716407
ADCYAP1_NM_001099733	1	S02397	3.464419955728067
AGER_NM_001136	2	S00022	0
AGER_NM_001136	2	S00035	0.8051512751010714
AGER_NM_001136	2	S00050	0.16704700180504614
AGER_NM_001136	2	S00213	2.229907802593775
AGER_NM_001136	2	S00472	1.237569836604282
AGER_NM_001136	2	S00501	2.2363885262837377
AGER_NM_001136	2	S00827	6.924770003123399e-5
AGER_NM_001136	2	S00829	0.09050795506585887
AGER_NM_001136	2	S00830	0.5161947160497938
AGER_NM_001136	2	S00831	4.905079753152101e-5
AGER_NM_001136	2	S00838	1.326796181685643
AGER_NM_001136	2	S01248	2.3297665648130264
AGER_NM_001136	2	S01297	0.6042127388174371
AGER_NM_001136	2	S01366	0.001688407523097839
AGER_NM_001136	2	S01453	1.7312236617312745e-5
AGER_NM_001136	2	S01494	0.316720388267284
AGER_NM_001136	2	S01512	1.3892969695171353
AGER_NM_001136	2	S01524	1.4930272927282995
AGER_NM_001136	2	S01542	1.5403794661124712
AGER_NM_001136	2	S01556	0.27905402751393066
AGER_NM_001136	2	S01578	1.8754913624940893e-5
AGER_NM_001136	2	S01698	2.0334441462258446
AGER_NM_001136	2	S01728	2.064030913487795
AGER_NM_001136	2	S01792	0.003446805799562839
AGER_NM_001136	2	S01861	1.2984196939094945e-5
